"ps_obdobi","0a-vlada","0b-PS","0c-S","0d-kraje","1-PSin","11-PS2S","12-PS2P","13-PSdead","14-PSstuck","2-Sin","21-S2P","22-S2PSpozm","23-S2PSzam","24-Sdead","25-Sstuck","3a-PSpozmin","3a1-PS2Ppozmprijat","3a2-PS2Ppozmsetrv","3a3-PSpozmdead","3a4-PSpozmstuck","3b-PSzamin","3b1-PS2Pzamsetrv","3b2-PSzamdead","3b3-PSzamstuck","4-Pin","41-P2SZ","42-P2PSnep","5-P2nepin","51-PS2SZnepsetrv","52-PSnepdead","53-PSnepstuck","6-SZin"
"1992-1996",71,54,0,0,125,31,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,31,0,0,0,0,0,31
"1996-1998",113,104,2,0,219,114,0,90,15,108,86,17,5,0,0,17,9,5,2,1,5,1,1,3,107,101,6,6,4,1,0,106
"1998-2002",467,285,19,10,781,461,0,282,37,458,310,124,23,3,0,124,80,37,7,0,23,14,6,3,442,426,16,16,15,0,1,441
"2002-2006",457,230,17,36,740,516,3,185,36,515,299,172,44,1,0,172,99,68,3,0,44,30,10,4,499,466,33,33,26,3,4,494
"2006-2010",314,246,28,25,613,356,2,113,142,355,299,47,10,0,0,47,27,17,3,0,10,7,1,2,352,335,17,17,13,1,3,348
"2010-2013",347,214,34,26,621,351,2,101,167,351,231,80,37,2,1,80,39,39,1,1,37,28,3,6,339,325,14,14,13,1,0,338
"2013-2017",376,232,23,13,644,368,2,94,180,368,290,65,11,1,1,65,42,19,4,0,11,5,5,1,357,351,6,6,6,0,0,357
"2017-2021",355,372,17,17,761,341,4,78,337,341,215,96,28,2,3,96,39,52,3,1,28,21,3,3,332,332,0,0,0,0,0,332
"2021+",273,110,8,15,406,239,1,17,0,238,211,12,1,0,0,12,6,6,0,0,1,1,0,0,219,222,3,3,3,0,0,224
